Organization Name,Membership Tier,Source Insight,Mission Detail
Anhalt University of Applied Sciences,DBpedia Association Member,Verified DBpedia Association Member profile,"Anhalt University’s clear approach is convincing because it consistently brings together science and innovation. In Bernburg, Dessau, and Köthen, we provide innovative research and teaching at an international level. In addition, we offer a high quality of life and studies for nearly 8,000 students, 2,000 of whom contribute to the University’s international flair. TheBachelor’s and Master’s progra..."
Business Information Systems Institute Ltd,DBpedia Association Member,Verified DBpedia Association Member profile,I2G is a Polish SME established in 2006 by researchers in the area of information systems. It is a spin-off set up to conduct innovative projects with required strong research involvement and potential for commercialization and its main capital is the know-how of its founders. The mission of the company is to create innovative IT technologies and their application in business. I2G is a project-ori...
Dalicc,DBpedia Association Member,Verified DBpedia Association Member profile,DALICCis a software framework that supports the automated clearance of rights thus supporting the legally secure and time-efficient reutilization of third party data sources. They currently provide several APIs that give you access to their license database and other useful features that simplify the licensing of your derivative works. If you are interested in their work and in contributing to the...
Devexe Limited,DBpedia Association Member,Verified DBpedia Association Member profile,"Devexe was founded in 2012 as a specialist software engineer consultancy offering expert computer programming, data architecture and technical leadership services to UK and international clients. We are data experts. We understand the importance of our client’s data, whether that be scientific measurements, financial information, technical documentation, or archival records. We have a deep knowled..."
Diffbot Technologies Corp.,DBpedia Association Member,Verified DBpedia Association Member profile,"Diffbot ([Source Website] is a Menlo-Park, California-based company whose mission is to “extract knowledge in an automated way from documents.” Diffbot Technologies Corp. started as a years-long private pilot program and launched the AI-powered Knowledge Graph in mid of 2018. A few months later they joint the DBpedia Association. Since then Diffbot Technologies Corp. supports the DBpedia Associati..."
eccenca,DBpedia Association Member,Verified DBpedia Association Member profile,"Its flagship product eccenca Corporate Memory provides a multi-disciplinary integrative platform for managing rules, constraints, capabilities, configurations and data in a single application. This lays thefoundation for data integration, access and reusability across hundreds to thousands disparate sources. Before enterprises can realize the full potential of their data, it’s paramount that they ..."
eTerra AI,DBpedia Association Member,Verified DBpedia Association Member profile,"Our focus is on the seamless integration of recent leaps forward and advances in machine learning and predictive, generative AI and their practical application to augment the laborious aspects of how we interact with technology today. “Less chat, more work”"
FIZ Karlsruhe – Leibniz-Institut für Informationsinfrastruktur,DBpedia Association Member,Verified DBpedia Association Member profile,"FIZ Karlsruhe – Leibniz Institute for Information Infrastructure is one of the large non-academic infrastructure institutions in Germany and member of the Leibniz Association. By “information infrastructure” we mean the entire set of content, technologies, methods, processes, and associated services that make it possible to generate, distribute, and maintain knowledge. The information infrastructu..."
RIAM INTELEARNING LAB S.L.,DBpedia Association Member,Verified DBpedia Association Member profile,"GNOSS is a Spanish technology manufacturing company that has developed its own platform for the construction and exploitation of knowledge graphs. GNOSS technology operates within the framework of the set of technologies that concur in the Artificial Intelligence Program semantically interpreted: NLU (Natural Language Understanding); identification, extraction, disambiguation and linking of entiti..."
HTWK - Leipzig University of Applied Science,DBpedia Association Member,Verified DBpedia Association Member profile,"As a university of applied sciences, HTWK Leipzig (Hochschule für Technik, Wirtschaft und Kultur) is characterized by interdisciplinary, application-oriented research and practice-based teaching based on it. The scientific success of the university is based on the research achievements of its professors. Young scientists are an indispensable member group for the scientific culture and recognition ..."
ImageSnippets,DBpedia Association Member,Verified DBpedia Association Member profile,
"KB, National Library of the Netherlands",DBpedia Association Member,Verified DBpedia Association Member profile,"The KB is the national library of the Netherlands. Driven by the power of the written word we further intellectual development, proficiency and creativity in the Netherlands. To this end, we seek collaboration with partners in the domains of public libraries, cultural heritage and academics. The KB promotes the visibility, usability and longevity of the Dutch Library Collection, defined as the col..."
Linked Open Data Initiative,DBpedia Association Member,Verified DBpedia Association Member profile,"Linked Open Data Initiative (LODI), a non-profit organization based in Tokyo, was established in 2012 to promote LOD technologies in Japan. As one of its activities, it provides DBpedia Japanese as a hub of LOD in Japanese. It is recognized one of top valuable resources for Japanese vocabulary and knowledge. It is widely used not only for building applications in research and business but also for..."
metamatter,DBpedia Association Member,Verified DBpedia Association Member profile,"Metamatter is specialized in semantic technology. Our goal is to improve effectiveness and flexibility of your organizational process and information system. Semantic technology is about adding a layer of meaning to integrate content, data, and applications. It enables people and machines to interact more intelligent, relevant, and responsive. It provides flexibility in the development of informat..."
Network Institute (VU Amsterdam),DBpedia Association Member,Verified DBpedia Association Member profile,"In 2017 the Network Institute (NI) joined the DBpedia Association on behalf of VU Amsterdam. The Network Institute studies the interaction between digital technology and society, or what is often called: the Digital Society. Digital technology – from social robotics to smart mobile devices, from global social media networks to fluent natural language processing tools, from realistic virtual enviro..."
Open Knowledge Greece,DBpedia Association Member,Verified DBpedia Association Member profile,"Open Knowledge Greece was founded in 2012 and is a nonprofit organization working to disseminate open knowledge, open data, transparency and participation. Since April 2013, it is an official chapter of Open Knowledge International. We want to see enlightened societies around the world, where everyone hasaccessto key information and theabilityto use it to understand and shape their lives; where po..."
OpenLink Software,DBpedia Association Member,Verified DBpedia Association Member profile,"Virtuoso Universal Server ([Source Website] is a Data Virtualization platform, enabling fast and flexible harmonization of disparate data that increases agility for individuals and enterprises alike. Its Data Virtualization capability enables the construction and deployment of Knowledge Graphs atop existing data exposed by APIs such as HTTP, ODBC, JDBC, ADO.NET, OLE DB, XMLA, and many service-spec..."
Poznan University,DBpedia Association Member,Verified DBpedia Association Member profile,"THE POZNAŃ UNIVERSITY OF ECONOMICS AND BUSINESS is one of the oldest, most prestigious schools of economics in Poland. Since 1926, we have been continually developing higher education and ensuring high quality of scientific studies and constant development of research infrastructure. We prepare numerous economic expert reports and implement innovative projects. High-quality education, which we hav..."
SZTAKI,DBpedia Association Member,Verified DBpedia Association Member profile,"The SZTAKI is a research institute, governed by the Eötvös Loránd Research Network. Although not directly recognizable from the acronym SZTAKI, it refers to the “Institute for Computer Science and Control”. Founded in 1964, its staff consists of more than 300 full-time employees, more than 200 with university diplomas and more than 70 with scientific degrees. The fundamental task of the Institute ..."
TIB – Leibniz-Informationszentrum Technik und Naturwissenschaften und Universitätsbibliothek,DBpedia Association Member,Verified DBpedia Association Member profile,"Acting in the capacity of the German National Library of Science and Technology, as well as architecture, chemistry, computer science, mathematics and physics, the TIB – Leibniz Information Centre for Science and Technology and University Library provides academia, research and business with literature and information. Its remit is to preserve recorded knowledge and to provide the latest informati..."
Triply,DBpedia Association Member,Verified DBpedia Association Member profile,"Triply seeks to transform the current information landscape: from traditional data silo’s, to integrated knowledge graphs. We provide TriplyDB, which is a customer-friendly database software with which large quantities of linked data can be queried, either in the cloud or on-premise. Triply focuses on improving both the developer experience (DX) and user experience (UX) for working with knowledge ..."
